date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:06:44	182/182	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Nov%202019%2021:06:44%20GMT	http://www.bi-plane.co.kr/robots.txt		(from )
06:06:44	34484/34484	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:06:44%20GMT	http://www.bi-plane.co.kr/	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/index.html	(from )
06:06:45	51284/51284	---M-Z	200	added ('OK')	text/css	etag:W/%225c58b7e2-c854%22	http://code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	C:/Data/javascript/ex/copy/test3/code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	(from http://www.bi-plane.co.kr/)
06:06:46	21019/21019	---MCZ	200	added ('OK')	text/css	etag:W/%2238b8ac7-521b-5add7233%22	http://www.bi-plane.co.kr/css/comm.css?ver=20181010	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/css/comm4442.css	(from http://www.bi-plane.co.kr/)
06:06:46	6962/6962	---MCZ	200	added ('OK')	text/css	etag:W/%2238b8ac5-1b32-5a0b078e%22	http://www.bi-plane.co.kr/css/main.css?ver=20181010	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/css/main4442.css	(from http://www.bi-plane.co.kr/)
06:06:46	5430/5430	---M--	200	added ('OK')	image/x-icon	etag:%2238e415c-1536-5a0b0792%22	http://www.bi-plane.co.kr/img/comm/logo.ico	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/comm/logo.ico	(from http://www.bi-plane.co.kr/)
06:06:46	2114/2114	---MCZ	200	added ('OK')	application/javascript	etag:W/%223950a57-842-5a09a7ef%22	http://www.bi-plane.co.kr/js/effect.js	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/js/effect.js	(from http://www.bi-plane.co.kr/)
06:06:47	34484/34484	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:06:47%20GMT	http://www.bi-plane.co.kr/index.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/index-2.html	(from http://www.bi-plane.co.kr/)
06:06:48	3518/3518	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2013%20Aug%202018%2002:44:56%20GMT	http://adimg.daumcdn.net/rt/roosevelt.js	C:/Data/javascript/ex/copy/test3/adimg.daumcdn.net/rt/roosevelt.js	(from http://www.bi-plane.co.kr/)
06:06:49	4627/4627	---M--	200	added ('OK')	image/png	etag:%2238e4158-1213-5a0b0793%22	http://www.bi-plane.co.kr/img/comm/logo.png	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/comm/logo.png	(from http://www.bi-plane.co.kr/)
06:06:52	24712/24712	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:06:50%20GMT	http://www.bi-plane.co.kr/sub11_1.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/sub11_1.html	(from http://www.bi-plane.co.kr/)
06:06:55	41191/41191	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:06:52%20GMT	http://www.bi-plane.co.kr/sub14_1.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/sub14_1.html	(from http://www.bi-plane.co.kr/)
06:06:57	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	https://www.google-analytics.com/analytics.js	C:/Data/javascript/ex/copy/test3/www.google-analytics.com/analytics.js	(from http://www.bi-plane.co.kr/)
06:06:57	32083/32083	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:06:55%20GMT	http://www.bi-plane.co.kr/sub11_2.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/sub11_2.html	(from http://www.bi-plane.co.kr/)
06:06:58	257501/257501	---MCZ	200	added ('OK')	application/javascript	etag:W/%223950a56-3eddd-5a09a7ef%22	http://www.bi-plane.co.kr/js/jquery-1.7.1.js	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/js/jquery-1.7.1.js	(from http://www.bi-plane.co.kr/)
06:06:59	22111/22111	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:06:58%20GMT	http://www.bi-plane.co.kr/sub11_3.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/sub11_3.html	(from http://www.bi-plane.co.kr/)
